sequence_id	D300418.lib1	D300419.lib1	D300420.lib1	D300421.lib1	D300422.lib1	D300423.lib1	D300424.lib1	D300425.lib1	D300426.lib1	D300427.lib1	D300428.lib1	D300429.lib1	D300430.lib1	D300431.lib1	D300432.lib1	D300433.lib1	D300434.lib1	D300435.lib1	D300436.lib1	D300437.lib1	D300438.lib1	D300439.lib1	D300440.lib1	D300441.lib1	D300442.lib1	D300443.lib1	D300444.lib1	D300445.lib1	D300446.lib1	D300447.lib1	D300448.lib1	D300449.lib1	D300450.lib1	D300451.lib1	D300452.lib1	D300453.lib1	D300454.lib1	D300455.lib1	D300456.lib1	D300457.lib1	D300458.lib1	D300459.lib1	D300460.lib1	D300461.lib1	D300462.lib1	D300463.lib1	D300464.lib1	D300465.lib1	D300466.lib1	D300467.lib1	D300468.lib1	D300469.lib1	D300470.lib1	D300471.lib1	D300472.lib1	D300473.lib1	D300474.lib1	D300475.lib1	D300476.lib1	D300477.lib1	D300478.lib1	D300479.lib1	D300480.lib1	D300481.lib1	D300482.lib1	D300483.lib1	D300484.lib1	D300485.lib1	D300486.lib1	D300487.lib1	D300488.lib1	D300489.lib1	D300490.lib1	D300491.lib1	D300492.lib1	D300493.lib1	D300494.lib1	D300495.lib1	D300496.lib1	D300497.lib1	D300498.lib1	D300499.lib1	D300500.lib1	D300501.lib1	D300502.lib1	D300503.lib1	D300504.lib1	D300505.lib1	D300506.lib1	D300507.lib1	D300508.lib1	D300509.lib1	D300510.lib1	D300511.lib1	D300512.lib1	D300513.lib1	D300514.lib1	D300515.lib1	D300516.lib1	D300517.lib1	D300518.lib1	D300519.lib1	D300520.lib1	D300521.lib1	D300522.lib1	D300523.lib1	D300524.lib1	D300525.lib1	D300526.lib1	D300527.lib1	D300528.lib1	D300529.lib1	D300530.lib1	D300531.lib1
D300418:bin_000013	363120	1254	207	1134	318	759	595	1631	1541	3072	972	737	5781	631	654	275	297	873	527	296	685	1349	1782	622	620	395	360	313	629	1089	921	760	988	1144	1502	1540	629	354	1187	504	2818	1009	232	1150	77	1539	742	1082	989	784	818	528	340	290	612	1302	1023	1594	550	427	3833	279	2025	832	1552	1373	1196	890	719	561	1230	946	2404	388	44	254	588	11530	759	710	631	614	442	866	594	768	1187	86	1198	330	436	1903	675	394	1050	235	524	258	1494	654	1041	996	245	552	163	1716	314	688	600	923	430	640	0	0
D300418:bin_000017	1492757	20134	28566	44900	16045	35414	20938	17666	34422	204845	35446	25344	14869	20756	13642	562366	200538	27537	347101	16396	39786	811178	35045	38403	110531	26357	14553	50099	20127	28256	35421	24145	22379	472321	26554	21259	300342	168924	25862	28542	326884	105568	53650	30855	26637	43982	303739	24297	671582	216445	23722	56619	576677	13099	23171	674708	43334	933661	424106	315407	313671	29047	1700499	32462	18947	520644	119670	26686	146470	40796	37345	44497	397685	27764	18798	24501	33585	127961	719894	205367	45295	153476	21478	12001	28769	475571	597263	39769	846809	161790	19078	167929	237782	23594	119247	78081	21847	259649	1260290	417632	33633	1855400	146418	41058	14918	24402	75626	40268	34974	710880	20119	650310	0	2
D300419:bin_000008	111525	402184	12608	11075	5032	7712	4005	5233	11685	32800	8501	9791	12790	5658	4012	3931	6403	8846	5386	9214	12095	164718	9060	11340	2699	44242	3064	8019	382333	7236	11862	487250	4933	11683	6226	7940	7727	4395	6771	4457	73664	10814	5635	8280	7313	8337	8767	6584	6947	99394	10798	7098	4042	5840	9513	115967	62680	154798	7476	2211	86263	5046	15006	10871	12182	8973	63889	7385	76653	11349	11723	10733	126790	8743	199767	4639	9064	56165	92020	7243	8188	5642	6820	2786	9046	11343	125082	2174	94860	4677	6976	19361	6394	11856	98198	4593	19632	5153	14256	6225	10307	87583	6093	58276	6326	8336	4359	9788	57767	37096	18587	7166	0	0
D300423:bin_000007	80384	62122	47175	105178	2788178	1072375	1104357	3522936	3399131	29303	98058	61432	23125	34795	24896	102101	213042	216573	121381	114967	138414	96453	1101403	852358	503449	57112	19328	87295	95012	1489392	68720	115295	1557630	80967	34969	1896749	81805	236237	2293107	441106	41674	42148	193415	1404019	101607	73612	46980	412653	73293	71294	71117	339721	178481	34147	62140	53966	54565	74739	57999	78616	54411	44054	157849	1966527	35926	65526	37338	2462573	44494	37207	93937	102847	171873	65544	43761	33835	221515	32044	53228	50916	51586	619044	42079	58176	61560	86477	53898	204692	90668	579664	64082	301993	242556	49842	70404	200627	17106	25775	56487	209447	69029	49737	188164	52341	56473	1398658	249092	84582	84736	25808	36014	335070	1	1
D300423:bin_000011	25564	18973	17715	48611	98898	1376565	630504	340090	515101	17948	28574	298325	10545	1181074	13880	173365	74134	290579	893072	72282	191589	43792	575489	767777	198963	20450	328322	646285	32924	615352	315579	42539	636842	46349	640098	107758	51539	195838	680688	757616	19720	25601	55287	442483	60245	1206668	27811	117294	51119	66046	41045	57298	470063	57006	94533	22217	25146	50187	19034	1167694	27546	453809	41151	328458	27635	30877	12341	397768	15197	21635	13856	503802	20754	174613	18259	26557	661353	27123	22328	16256	26743	44841	237346	326089	326012	23105	31258	29367	44608	34353	82584	23207	22697	33478	20939	67718	10263	22527	23903	10175	375701	23349	68772	22048	304405	197106	43887	45076	21065	17254	13320	13426	0	1
D300423:bin_000014	665321	1473193	455975	423377	908464	970223	346268	450283	1416945	213826	1230186	550898	28397	277569	189190	319006	761213	813999	491618	683486	858859	955483	771902	1008715	286514	181214	161638	682301	257646	331306	566186	96755	246582	371650	552016	800223	286079	546457	162344	833638	401998	271596	690410	908556	422701	1139643	402911	415384	234571	728227	600907	770827	371593	147696	125868	697223	512256	1030107	1467332	477348	423563	301524	518851	891336	751569	419120	178442	556825	284791	348591	609033	332068	633342	208748	28771	273228	277940	501435	638538	357790	379170	131234	188884	351260	202005	199699	481818	168709	649999	581805	148310	798878	431859	254443	430128	536677	229090	307071	1399941	161539	374603	801434	461048	297518	88041	1151287	389985	234705	321448	380877	239884	298125	3	0
D300425:bin_000002	12688	11111	9974	12464	1688557	18748	16981	2922077	23758	6455	7153	10305	13130	8452	6615	12216	9495	1894394	14542	281836	10641	15820	17516	15439	19071	10908	3591	15830	15475	18278	9196	15903	16612	16035	9088	15000	12599	8583	22395	23104	11510	8321	9691	17828	13667	17355	10787	10339	92130	12350	19768	13661	20983	5520	7257	10667	11465	15788	7103	10063	13129	8606	10302	24854	8356	10857	7412	203236	6772	6735	9363	11249	11449	6887	10428	5980	17764	9443	8570	7184	16074	11731	5081	6716	6223	9005	8930	5858	12192	8545	7397	10054	5907	6913	10990	7630	6027	5583	10177	5096	6225	10766	16823	12555	5599	18251	9210	22409	10384	5132	6006	4700	0	0
D300428:bin_000005	91668	118989	97871	65511	61395	90351	30314	97330	78579	52633	2112272	63698	141382	304232	211232	213979	81795	84407	41814	18551	248971	425558	95625	89129	139936	71110	195668	51090	145712	539153	130413	96133	46573	18193	158796	76403	9821	54484	62767	57945	38547	66645	103969	65386	46388	284839	37837	120019	68379	203125	24161	46400	76932	82119	67645	188691	73332	117140	19270	63650	55847	110442	89349	132235	245634	65258	58542	1237017	65196	49764	120658	41645	191742	100078	246779	94863	88054	24435	74006	46412	32866	31117	131102	246126	96744	127267	171951	46160	48806	141549	107076	1363975	31207	62642	66076	40399	31075	26540	702889	619618	64732	97661	75039	57272	150683	80265	57349	24929	73156	53663	67083	134585	0	1
D300429:bin_000001	64183	2170	20468	86519	68263	6147	2681	3985	85385	15507	130068	2032221	7168	19264	6564	8702	19654	5390	10917	51934	314355	69954	15400	5934	43756	49207	2444	9713	6242	43249	478780	1987	3608	117812	45863	76104	101542	40734	3783	4924	42443	59146	38603	55750	3268	29458	88931	44785	101835	44768	100234	40967	30831	11767	275164	26217	228651	73999	20380	3402	35377	5997	1313902	4979	9906	51864	23284	34223	12646	47494	3314553	75643	21124	65893	2201	11583	5697	32680	38706	44189	101239	39173	45809	4593	60441	7209	22624	4407	17472	22243	21308	160638	212689	425658	37524	17205	167413	240513	105261	122108	107283	57377	22095	86486	25014	86835	12996	53915	108546	31520	39543	321377	1	289
D300431:bin_000017	813850	42655	102067	594130	34513	63221	33034	27308	70634	263206	733920	891350	81677	990289	32913	55491	91939	65514	66341	39254	1403881	1125286	50985	76714	51084	423821	31366	119062	50017	42422	2051325	112339	33463	383496	2298342	46422	144986	62623	38225	34844	514098	129114	72105	55140	59131	3265953	70867	51767	152357	487307	354160	95460	64684	548590	1179647	335419	1068464	578984	115837	85489	605962	49801	1562219	59349	59933	168639	780956	59369	210949	73350	1873221	1445409	831413	742172	64065	44399	53385	776998	344658	63948	187365	61678	926380	23232	1432308	71023	541494	22566	594530	64070	751787	1991426	64292	466263	828317	64117	716832	45222	795476	802656	2547540	422597	59940	480422	235296	58921	53964	107257	964303	342758	428746	147036	51	14
