sequence_id	D300418.lib1	D300419.lib1	D300420.lib1	D300421.lib1	D300422.lib1	D300423.lib1	D300424.lib1	D300425.lib1	D300426.lib1	D300427.lib1	D300428.lib1	D300429.lib1	D300430.lib1	D300431.lib1	D300432.lib1	D300433.lib1	D300434.lib1	D300435.lib1	D300436.lib1	D300437.lib1	D300438.lib1	D300439.lib1	D300440.lib1	D300441.lib1	D300442.lib1	D300443.lib1	D300444.lib1	D300445.lib1	D300446.lib1	D300447.lib1	D300448.lib1	D300449.lib1	D300450.lib1	D300451.lib1	D300452.lib1	D300453.lib1	D300454.lib1	D300455.lib1	D300456.lib1	D300457.lib1	D300458.lib1	D300459.lib1	D300460.lib1	D300461.lib1	D300462.lib1	D300463.lib1	D300464.lib1	D300465.lib1	D300466.lib1	D300467.lib1	D300468.lib1	D300469.lib1	D300470.lib1	D300471.lib1	D300472.lib1	D300473.lib1	D300474.lib1	D300475.lib1	D300476.lib1	D300477.lib1	D300478.lib1	D300479.lib1	D300480.lib1	D300481.lib1	D300482.lib1	D300483.lib1	D300484.lib1	D300485.lib1	D300486.lib1	D300487.lib1	D300488.lib1	D300489.lib1	D300490.lib1	D300491.lib1	D300492.lib1	D300493.lib1	D300494.lib1	D300495.lib1	D300496.lib1	D300497.lib1	D300498.lib1	D300499.lib1	D300500.lib1	D300501.lib1	D300502.lib1	D300503.lib1	D300504.lib1	D300505.lib1	D300506.lib1	D300507.lib1	D300508.lib1	D300509.lib1	D300510.lib1	D300511.lib1	D300512.lib1	D300513.lib1	D300514.lib1	D300515.lib1	D300516.lib1	D300517.lib1	D300518.lib1	D300519.lib1	D300520.lib1	D300521.lib1	D300522.lib1	D300523.lib1	D300524.lib1	D300525.lib1	D300526.lib1	D300527.lib1	D300528.lib1	D300529.lib1	D300530.lib1	D300531.lib1
D300418:bin_000013	2331148	5185	2925	10863	9541	7001	8371	8222	9085	232933	11361	7602	3040	4689	5521	5657	5782	9322	6506	8639	8593	14708	9938	8544	6108	8229	5497	5214	4716	7785	8296	6199	8768	10710	5079	8998	9380	5475	8645	6973	167934	7565	5384	9355	2978	5269	9849	9462	11186	14454	9863	9187	5572	5466	8174	10369	9942	13615	9992	5474	249692	6622	11062	8725	6409	12991	20081	8179	10802	6360	10142	9250	130596	8250	2553	6696	7842	825889	14525	12136	8397	10520	8804	6798	8067	10683	29420	4684	10242	5888	7755	12261	10427	6537	14006	7280	6957	8077	14418	11017	8671	11504	7139	10081	5785	10549	7242	10842	10118	10362	7871	10962	0	0
D300418:bin_000017	2545179	125605	123303	1231988	173393	121363	117849	125126	143123	2527946	425855	167534	115916	116662	105279	114642	135916	132372	134826	150256	187288	2539188	134912	131821	129527	392206	102313	106301	206178	137664	196566	127743	122878	2490586	108395	140456	2484767	156416	125760	119409	2540417	2284708	186580	140396	115260	119637	2420792	149936	2501984	2525385	194268	248849	120026	135586	141093	2498824	569887	2537046	2487775	117311	2538915	708349	2500087	142739	94466	2500770	2464909	134528	2473221	933287	194356	277661	2541199	239860	116264	212397	132255	2458753	2541311	2419429	1694123	2396814	181507	73031	185690	2426672	2529282	238374	2509741	134710	184324	2463423	2494259	240202	2424045	133388	245056	2415165	2503212	2490381	183077	2536045	1905044	1150298	135769	138241	263024	1303390	267551	2523402	265185	2500530	0	186
D300419:bin_000008	2244363	2331500	18612	41816	44324	21883	36025	39711	43976	1558277	43350	43786	18024	37886	14359	16903	36130	35095	22017	44706	47053	2311712	40956	39249	18888	1611237	12375	17217	2329148	38193	45932	2330747	37341	40738	41124	43780	38205	34843	39722	23028	2168060	26684	36954	39089	22069	37314	45518	43074	39160	2226203	41185	39363	19871	36180	45265	2277567	1827682	2296789	29344	18631	2211522	19851	49186	36966	24024	40953	2081414	39805	2139351	22868	45727	48024	2281491	46002	2316141	40610	39919	1921515	2219388	42631	39041	44249	43099	14088	45946	42441	2284503	32123	2229937	33289	42628	47756	41144	44224	2237715	34871	746297	40163	48563	46313	49602	2177642	39619	1861247	40988	41951	38912	38145	1888760	1709879	958797	40907	0	0
D300423:bin_000007	706091	249582	162457	418207	3314357	3316076	3314812	3315809	3315905	244832	2524032	196548	63129	126312	77867	220445	3244631	3059903	119685	2287013	1176504	581676	3314937	3315502	3302132	955264	90844	80779	411592	3315571	814195	331875	3314788	153534	265855	3315205	98206	3285467	3315708	3313375	731789	135792	3227729	3315456	66577	242646	303609	3312483	354411	557436	123646	3302677	161281	216730	448329	342048	551701	332971	282082	60435	525139	87388	2416008	3315852	108948	446589	696017	3315474	208070	165382	633340	928551	1110172	982326	128728	365884	3265064	328464	731989	376277	126949	3292552	750258	119342	660130	1252964	346221	3264106	202142	3308286	1091723	3300697	3291629	730543	794260	3235038	311520	254429	429820	3231132	758043	361413	3072284	833371	352080	3306636	3281792	140496	629198	241347	209078	3305462	150	150
D300423:bin_000011	95035	43890	61430	86049	2590708	2791843	2789802	2788114	2790572	77005	85477	2644181	54778	2723576	108719	2742603	2243274	2787043	2781870	2356191	2711841	91601	2790742	2790810	2753127	544450	2755614	2758422	42810	2790747	2686304	48479	2790611	82762	2673419	2562144	80009	2777664	2790635	2790795	92780	81782	1660694	2789217	70387	2706073	1321642	2520780	86492	88881	56161	1681927	2782948	2117483	2416652	82279	762946	87123	74424	2787435	93313	2759568	87840	2789626	1316012	84015	91546	2788083	77241	79728	319590	2617038	91817	2654833	42946	1522458	2790660	87398	88315	881729	73108	1688934	2699999	2785491	2719172	1102086	86592	1155904	78453	1239942	2442702	86972	84484	1290937	94495	2250477	456036	856195	89913	78299	2760982	86334	1969095	864005	2686734	2762099	1485957	77836	684433	79545	75071	85071	0	150
D300423:bin_000014	2082919	2079590	2090279	1993309	2098306	2100970	2090606	2089043	2099917	2072385	2083538	2081289	756775	2070461	1983644	2021433	2094610	2020249	2033797	1887312	2084182	2085369	2098594	2099635	2020177	1985823	1973421	2026725	2076966	2015103	2081734	1978719	2004565	2087584	2083276	1886756	2063207	2092358	2077055	2099021	2086451	2091644	2092838	2099150	2087806	2080202	2094558	2095024	1977298	2087626	2038419	2093869	2088880	1859372	1964930	2082841	1999777	2086686	2098101	2092437	2075299	2015488	2003043	2098257	2016972	1998589	2049804	2097374	2078403	2093742	2017996	2082403	2087840	2059170	746464	2017665	2010204	2086651	2074221	2088790	2088507	1955817	2065268	1994232	2068785	2081213	2081498	2002010	2083665	2026365	2036731	2006918	1994760	2071867	2072527	2026759	2065692	2087494	2015641	1882537	2073954	2082938	2093856	2070014	1986359	2098254	2023221	2081482	2036823	2031000	2073444	1992695	277	0
D300425:bin_000002	44508	12873	12431	15935	1930255	20294	254702	1930666	21126	28145	25282	16089	9049	11228	9687	13244	17176	1930266	12520	1928730	16041	16261	23923	22980	17601	80389	5019	9529	12681	101071	15909	12634	101826	15723	12077	63850	14136	17267	44110	27118	174710	12176	17377	23068	12031	15231	14736	22888	1670534	21478	15194	17657	12684	13679	15412	15226	15759	16112	9389	11655	35730	9708	35722	468504	8776	29170	50661	1928067	15637	10664	24654	20606	34224	16673	12021	12812	28014	28793	35995	10727	14950	35274	12871	14867	13902	15504	16470	20463	13433	16023	15573	29016	17307	18365	28480	16077	12950	14862	27122	24208	14100	16444	17312	46352	12574	57427	17538	15456	57304	15325	13306	21634	0	0
D300428:bin_000005	592521	506777	467447	2291327	2449212	519478	748994	2865816	2038761	539331	3341320	545123	501429	721322	738902	689292	2174841	663330	448984	883619	738338	763941	872660	611918	2433679	714504	719215	397184	544301	3168542	695808	504614	1344522	291027	656617	1003013	239500	770963	813495	478047	499166	444310	2305618	2120383	384858	643119	671850	1298808	765439	729416	284090	647949	2093020	510511	523058	664760	734061	624660	302313	429895	531329	496489	772837	2870321	758002	2783685	545243	3177735	527502	395729	840520	619259	629842	696584	647788	850709	607100	547154	557918	602211	328090	528618	610370	690421	571774	669653	596500	587593	417400	1150738	792081	3340589	1669006	663988	595177	542477	591204	486213	3338462	3335044	646989	616732	581819	686402	611661	744461	754857	286313	721446	469746	536672	3223073	0	150
D300429:bin_000001	235815	3772	114896	795729	158580	24408	24431	30512	141829	153640	1762170	2505745	14568	108885	34695	128638	134102	36236	120330	131558	2495718	234784	106839	28423	142868	1859032	24260	26905	14595	131882	2500823	8289	27186	307291	202311	175173	256742	191622	28352	27735	276682	147356	195648	138979	66918	107131	1582055	175836	357963	214911	287651	200376	132341	171205	2491584	157404	2489176	191019	143348	14229	223448	34385	2122022	28146	24239	276374	235869	127493	155795	222068	2502161	2092150	184723	2144885	3560	168466	27048	206393	166938	1170008	1762450	182299	1794600	27021	2081053	127758	158736	138034	151460	179044	1058485	1127005	2072041	2497689	216624	160550	2477029	1975868	417177	1705940	2359249	156970	188245	2324082	174995	181325	170701	244274	2395274	147668	215073	2079341	25	462
D300431:bin_000017	2037274	723070	383720	2046075	393228	278298	302761	350831	443002	1987502	2037361	2036808	343155	2073003	216032	382484	483599	344938	395741	439762	2057138	2056330	406493	305692	343217	2039137	213345	359955	355645	378971	2063763	1796787	324811	2056741	2069298	430942	2020380	468751	351509	246580	2035907	1952777	470377	403013	365064	2040631	952429	425806	2005991	2019912	2057222	493175	384865	2030932	2062511	2040264	2053708	2043249	1909809	362173	2024591	325240	2050864	361717	265387	2014811	2040855	406125	2025249	1112348	2053840	2059902	2042579	2048495	267714	459137	280801	2026867	2025197	997163	1957834	694528	2056278	201259	2066734	869094	2049725	360449	2055941	476851	2047512	2049463	1574613	2044798	2042338	470475	2047126	534213	2050543	2043332	2064195	2049241	447802	2045052	1998854	420676	456874	1928149	2051230	1986676	2026019	2014462	32	182
