Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
D300418:bin_000013	81.41	1.94	Gradient Boost (General Model)	11	0.871	6434	292.8390854184642	2332804	0.55	2318	None
D300418:bin_000017	83.46	5.33	Gradient Boost (General Model)	11	0.906	16266	312.5977291159773	2547828	0.58	2466	None
D300419:bin_000008	84.03	2.1	Gradient Boost (General Model)	11	0.876	7642	270.3089108910891	2332485	0.58	2525	None
D300423:bin_000007	93.57	4.45	Neural Network (Specific Model)	11	0.9	28286	315.6094936708861	3316869	0.49	3160	None
D300423:bin_000011	88.45	0.69	Neural Network (Specific Model)	11	0.86	29582	332.2373653686827	2792279	0.51	2414	None
D300423:bin_000014	80.56	1.76	Neural Network (Specific Model)	11	0.876	12408	278.9723104857013	2101650	0.63	2203	None
D300425:bin_000002	98.93	0.29	Gradient Boost (General Model)	11	0.855	30853	289.47901364113324	1930826	0.27	1906	None
D300428:bin_000005	93.51	4.99	Neural Network (Specific Model)	11	0.9	48389	316.4773156899811	3342204	0.45	3174	None
D300429:bin_000001	93.27	2.31	Gradient Boost (General Model)	11	0.881	18845	348.3777148253069	2507500	0.56	2118	None
D300431:bin_000017	68.34	3.07	Neural Network (Specific Model)	11	0.887	4192	253.91463917525772	2077366	0.65	2425	None
D300432:bin_000001	95.93	0.94	Gradient Boost (General Model)	11	0.89	79630	301.9941818181818	2795297	0.29	2750	None
D300432:bin_000002	100.0	1.15	Neural Network (Specific Model)	11	0.896	74634	319.2201905742982	4140997	0.44	3883	None
D300433:bin_000005	98.06	5.28	Gradient Boost (General Model)	11	0.894	19793	314.2029831387808	4869608	0.52	4626	None
D300433:bin_000009	90.55	1.42	Neural Network (Specific Model)	11	0.889	29868	320.88330109606704	3351914	0.5	3102	None
D300437:bin_000010	76.07	4.43	Gradient Boost (General Model)	11	0.893	6757	302.29352226720647	2003490	0.6	1976	None
D300440:bin_000012	90.62	2.55	Gradient Boost (General Model)	11	0.896	31473	316.6282335550628	2862982	0.5	2706	None
D300442:bin_000001	95.41	0.23	Gradient Boost (General Model)	11	0.866	19562	294.47287483981205	2386391	0.26	2341	None
D300442:bin_000011	82.4	1.99	Gradient Boost (General Model)	11	0.881	9252	285.07893607893607	2259775	0.6	2331	None
D300443:bin_000002	100.0	1.11	Neural Network (Specific Model)	11	0.887	51850	296.2974777448071	2697713	0.33	2696	None
D300444:bin_000010	91.11	2.04	Gradient Boost (General Model)	11	0.906	23613	317.20983606557377	3198212	0.51	3050	None
D300444:bin_000011	79.34	2.1	Neural Network (Specific Model)	11	0.887	9309	287.5296717171717	3074978	0.62	3168	None
D300446:bin_000001	90.77	1.41	Neural Network (Specific Model)	11	0.84	39556	286.45475638051045	2639574	0.44	2586	None
D300449:bin_000002	96.95	4.91	Gradient Boost (General Model)	11	0.886	26831	316.5577130528587	2975183	0.6	2781	None
D300449:bin_000011	77.84	0.85	Neural Network (Specific Model)	11	0.855	10459	290.1603898980948	2293731	0.63	2257	None
D300450:bin_000002	90.58	1.82	Gradient Boost (General Model)	11	0.881	24675	323.42317939609234	2474074	0.56	2252	None
D300451:bin_000001	100.0	2.2	Neural Network (Specific Model)	11	0.879	15837	297.0252545824847	4965842	0.5	4910	None
D300455:bin_000019	51.71	3.73	Neural Network (Specific Model)	11	0.889	4826	265.38853812530357	1841630	0.65	2059	None
D300457:bin_000005	89.15	2.24	Neural Network (Specific Model)	11	0.903	66859	321.2123394926401	3399836	0.48	3193	None
D300458:bin_000006	98.12	0.12	Neural Network (Specific Model)	11	0.88	41655	329.9220498015157	3111616	0.36	2771	None
D300458:bin_000008	99.94	4.64	Gradient Boost (General Model)	11	0.87	16925	275.67653890824624	1632942	0.28	1722	None
D300458:bin_000017	93.73	7.24	Gradient Boost (General Model)	11	0.911	19535	314.34234234234236	3438612	0.52	3330	None
D300458:bin_000021	54.8	1.19	Gradient Boost (General Model)	11	0.887	3075	271.01185436071125	1081016	0.61	1181	None
D300459:bin_000001	99.83	0.14	Neural Network (Specific Model)	11	0.846	46093	315.04822134387354	2816448	0.59	2530	None
D300463:bin_000012	89.61	5.79	Neural Network (Specific Model)	11	0.892	29802	317.1043179212839	2786124	0.53	2617	None
D300464:bin_000017	84.17	1.63	Gradient Boost (General Model)	11	0.869	8017	291.54788507581804	2518730	0.63	2506	None
D300467:bin_000021	76.97	2.29	Gradient Boost (General Model)	11	0.901	9308	290.7231201686578	2749947	0.51	2846	None
D300472:bin_000003	91.75	1.35	Gradient Boost (General Model)	11	0.878	25309	335.5418032786885	2791757	0.52	2440	None
D300474:bin_000002	94.38	1.25	Gradient Boost (General Model)	11	0.885	24175	346.72460220318237	1918856	0.54	1634	None
D300474:bin_000012	92.57	1.46	Neural Network (Specific Model)	11	0.897	16092	324.3644589214622	2990431	0.48	2763	None
D300476:bin_000004	96.72	3.87	Neural Network (Specific Model)	11	0.903	50626	331.7344370860927	3321694	0.49	3020	None
D300476:bin_000013	72.61	2.99	Neural Network (Specific Model)	11	0.903	9385	287.7780269058296	2129253	0.61	2230	None
D300477:bin_000001	99.96	0.93	Neural Network (Specific Model)	11	0.867	37752	316.6758957654723	2687405	0.54	2456	None
D300477:bin_000007	88.34	1.03	Gradient Boost (General Model)	11	0.883	5995	274.58666666666664	2654163	0.55	2850	None
D300478:bin_000014	78.75	1.23	Gradient Boost (General Model)	11	0.849	19188	290.36516034985425	1404768	0.29	1372	None
D300479:bin_000001	99.96	0.53	Neural Network (Specific Model)	11	0.887	31518	294.4897645854657	1942229	0.37	1954	None
D300479:bin_000012	82.38	4.67	Gradient Boost (General Model)	11	0.864	9756	277.08962067528137	2304801	0.57	2399	None
D300482:bin_000009	90.72	3.87	Neural Network (Specific Model)	11	0.894	28269	323.1261758027895	3336211	0.48	3083	None
